,attack_category
29570,r2l
29571,normal
29572,normal
29573,normal
29574,normal
29575,dos
29576,dos
29577,dos
29578,probe
29579,normal
29580,normal
29581,normal
29582,normal
29583,normal
29584,normal
29585,normal
29586,normal
29587,normal
29588,dos
29589,normal
29590,dos
29591,dos
29592,normal
29593,dos
29594,normal
29595,normal
29596,dos
29597,normal
29598,normal
29599,dos
29600,dos
29601,normal
29602,normal
29603,dos
29604,dos
29605,normal
29606,dos
29607,normal
29608,dos
29609,dos
29610,normal
29611,normal
29612,normal
29613,normal
29614,dos
29615,dos
29616,normal
29617,dos
29618,normal
29619,normal
29620,dos
29621,normal
29622,normal
29623,dos
29624,probe
29625,normal
29626,normal
29627,dos
29628,dos
29629,normal
29630,dos
29631,normal
29632,normal
29633,normal
29634,normal
29635,normal
29636,normal
29637,normal
29638,dos
29639,normal
29640,dos
29641,normal
29642,normal
29643,dos
29644,dos
29645,normal
29646,dos
29647,normal
29648,dos
29649,normal
29650,probe
29651,normal
29652,normal
29653,normal
29654,normal
29655,dos
29656,normal
29657,probe
29658,normal
29659,probe
29660,dos
29661,normal
29662,normal
29663,dos
29664,dos
29665,normal
29666,dos
29667,dos
29668,normal
29669,normal
29670,dos
29671,normal
29672,normal
29673,probe
29674,dos
29675,dos
29676,normal
29677,normal
29678,dos
29679,dos
29680,normal
29681,normal
29682,dos
29683,dos
29684,normal
29685,normal
29686,normal
29687,dos
29688,dos
29689,normal
29690,dos
29691,normal
29692,normal
29693,dos
29694,dos
29695,probe
29696,dos
29697,normal
29698,normal
29699,dos
29700,normal
29701,probe
29702,probe
29703,dos
29704,normal
29705,normal
29706,dos
29707,normal
29708,normal
29709,normal
29710,normal
29711,normal
29712,dos
29713,dos
29714,probe
29715,normal
29716,normal
29717,normal
29718,normal
29719,dos
29720,dos
29721,normal
29722,dos
29723,normal
29724,probe
29725,dos
29726,normal
29727,normal
29728,normal
29729,dos
29730,probe
29731,normal
29732,r2l
29733,dos
29734,normal
29735,normal
29736,normal
29737,normal
29738,dos
29739,dos
29740,normal
29741,normal
29742,normal
29743,dos
29744,dos
29745,dos
29746,normal
29747,dos
29748,normal
29749,normal
29750,dos
29751,probe
29752,dos
29753,normal
29754,normal
29755,normal
29756,dos
29757,normal
29758,dos
29759,normal
29760,normal
29761,dos
29762,probe
29763,normal
29764,dos
29765,normal
29766,normal
29767,dos
29768,normal
29769,normal
29770,dos
29771,dos
29772,dos
29773,normal
29774,dos
29775,normal
29776,dos
29777,normal
29778,dos
29779,normal
29780,normal
29781,dos
29782,dos
29783,dos
29784,dos
29785,normal
29786,dos
29787,probe
29788,dos
29789,dos
29790,dos
29791,normal
29792,normal
29793,dos
29794,normal
29795,normal
29796,normal
29797,normal
29798,dos
29799,normal
29800,dos
29801,normal
29802,dos
29803,normal
29804,normal
29805,normal
29806,normal
29807,normal
29808,normal
29809,dos
29810,normal
29811,probe
29812,normal
29813,dos
29814,normal
29815,normal
29816,normal
29817,normal
29818,probe
29819,probe
29820,normal
29821,dos
29822,normal
29823,dos
29824,normal
29825,normal
29826,dos
29827,dos
29828,dos
29829,normal
29830,dos
29831,dos
29832,normal
29833,normal
29834,probe
29835,normal
29836,normal
29837,normal
29838,normal
29839,probe
29840,normal
29841,normal
29842,normal
29843,normal
29844,normal
29845,normal
29846,normal
29847,dos
29848,probe
29849,normal
29850,dos
29851,dos
29852,normal
29853,probe
29854,dos
29855,normal
29856,normal
29857,normal
29858,normal
29859,dos
29860,normal
29861,normal
29862,dos
29863,normal
29864,normal
29865,normal
29866,dos
29867,probe
29868,dos
29869,probe
29870,normal
29871,normal
29872,normal
29873,dos
29874,dos
29875,normal
29876,dos
29877,r2l
29878,normal
29879,normal
29880,dos
29881,dos
29882,dos
29883,normal
29884,dos
29885,normal
29886,normal
29887,dos
29888,normal
29889,normal
29890,normal
29891,normal
29892,dos
29893,dos
29894,dos
29895,normal
29896,normal
29897,probe
29898,dos
29899,dos
29900,normal
29901,dos
29902,probe
29903,normal
29904,normal
29905,dos
29906,dos
29907,normal
29908,dos
29909,dos
29910,dos
29911,dos
29912,probe
29913,dos
29914,dos
29915,dos
29916,normal
29917,dos
29918,normal
29919,normal
29920,dos
29921,normal
29922,dos
29923,dos
29924,normal
29925,normal
29926,normal
29927,normal
29928,normal
29929,normal
29930,normal
29931,dos
29932,normal
29933,normal
29934,normal
29935,normal
29936,normal
29937,probe
29938,normal
29939,normal
29940,normal
29941,normal
29942,dos
29943,normal
29944,normal
29945,dos
29946,normal
29947,normal
29948,normal
29949,normal
29950,probe
29951,normal
29952,normal
29953,probe
29954,normal
29955,normal
29956,normal
29957,normal
29958,normal
29959,dos
29960,probe
29961,dos
29962,normal
29963,dos
29964,normal
29965,normal
29966,normal
29967,normal
29968,dos
29969,dos
29970,dos
29971,probe
29972,dos
29973,dos
29974,dos
29975,dos
29976,normal
29977,normal
29978,normal
29979,normal
29980,normal
29981,normal
29982,normal
29983,normal
29984,probe
29985,dos
29986,dos
29987,dos
29988,probe
29989,normal
29990,dos
29991,probe
29992,normal
29993,dos
29994,dos
29995,normal
29996,dos
29997,normal
29998,normal
29999,dos
30000,normal
30001,dos
30002,normal
30003,normal
30004,dos
30005,probe
30006,dos
30007,normal
30008,normal
30009,normal
30010,dos
30011,dos
30012,normal
30013,normal
30014,normal
30015,dos
30016,normal
30017,dos
30018,dos
30019,normal
30020,normal
30021,normal
30022,normal
30023,normal
30024,normal
30025,normal
30026,normal
30027,dos
30028,dos
30029,dos
30030,dos
30031,dos
30032,normal
30033,normal
30034,dos
30035,normal
30036,normal
30037,normal
30038,dos
30039,normal
30040,dos
30041,probe
30042,probe
30043,normal
30044,normal
30045,normal
30046,normal
30047,dos
30048,probe
30049,normal
30050,dos
30051,dos
30052,dos
30053,normal
30054,normal
30055,normal
30056,dos
30057,dos
30058,normal
30059,probe
30060,dos
30061,normal
30062,dos
30063,dos
30064,normal
30065,normal
30066,dos
30067,dos
30068,normal
30069,normal
30070,dos
30071,normal
30072,normal
30073,normal
30074,probe
30075,normal
30076,probe
30077,probe
30078,normal
30079,dos
30080,dos
30081,normal
30082,dos
30083,dos
30084,normal
30085,normal
30086,normal
30087,dos
30088,normal
30089,dos
30090,normal
30091,dos
30092,normal
30093,normal
30094,dos
30095,dos
30096,dos
30097,probe
30098,dos
30099,normal
30100,normal
30101,normal
30102,normal
30103,normal
30104,dos
30105,normal
30106,dos
30107,normal
30108,normal
30109,dos
30110,normal
30111,dos
30112,normal
30113,normal
30114,dos
30115,probe
30116,dos
30117,normal
30118,probe
30119,dos
30120,normal
30121,dos
30122,normal
30123,dos
30124,dos
30125,normal
30126,dos
30127,normal
30128,dos
30129,normal
30130,probe
30131,normal
30132,dos
30133,dos
30134,normal
30135,normal
30136,normal
30137,probe
30138,normal
30139,normal
30140,dos
30141,normal
30142,dos
30143,normal
30144,probe
30145,normal
30146,dos
30147,normal
30148,dos
30149,normal
30150,dos
30151,dos
30152,probe
30153,dos
30154,dos
30155,normal
30156,normal
30157,dos
30158,dos
30159,normal
30160,normal
30161,normal
30162,normal
30163,normal
30164,normal
30165,dos
30166,normal
30167,normal
30168,dos
30169,dos
30170,dos
30171,dos
30172,normal
30173,dos
30174,normal
30175,dos
30176,normal
30177,normal
30178,normal
30179,probe
30180,dos
30181,normal
30182,r2l
30183,normal
30184,probe
30185,dos
30186,normal
30187,dos
30188,normal
30189,dos
30190,dos
30191,normal
30192,dos
30193,normal
30194,probe
30195,normal
30196,dos
30197,normal
30198,dos
30199,normal
30200,normal
30201,dos
30202,normal
30203,normal
30204,dos
30205,dos
30206,dos
30207,normal
30208,dos
30209,normal
30210,normal
30211,normal
30212,normal
30213,normal
30214,normal
30215,dos
30216,normal
30217,dos
30218,dos
30219,normal
30220,normal
30221,dos
30222,probe
30223,normal
30224,dos
30225,normal
30226,normal
30227,normal
30228,normal
30229,normal
30230,dos
30231,probe
30232,normal
30233,dos
30234,dos
30235,normal
30236,normal
30237,dos
30238,normal
30239,dos
30240,dos
30241,dos
30242,dos
30243,normal
30244,probe
30245,normal
30246,dos
30247,dos
30248,normal
30249,dos
30250,normal
30251,normal
30252,dos
30253,normal
30254,dos
30255,probe
30256,normal
30257,dos
30258,dos
30259,normal
30260,dos
30261,dos
30262,normal
30263,normal
30264,normal
30265,dos
30266,normal
30267,dos
30268,dos
30269,normal
30270,dos
30271,normal
30272,normal
30273,dos
30274,normal
30275,dos
30276,probe
30277,normal
30278,normal
30279,normal
30280,normal
30281,dos
30282,dos
30283,dos
30284,normal
30285,probe
30286,probe
30287,dos
30288,normal
30289,dos
30290,dos
30291,normal
30292,probe
30293,normal
30294,normal
30295,dos
30296,probe
30297,normal
30298,normal
30299,normal
30300,normal
30301,dos
30302,normal
30303,normal
30304,normal
30305,dos
30306,dos
30307,normal
30308,normal
30309,normal
30310,dos
30311,dos
30312,dos
30313,normal
30314,normal
30315,normal
30316,r2l
30317,dos
30318,normal
30319,dos
30320,normal
30321,normal
30322,probe
30323,normal
30324,normal
30325,dos
30326,normal
30327,dos
30328,normal
30329,normal
30330,normal
30331,normal
30332,normal
30333,normal
30334,normal
30335,normal
30336,dos
30337,normal
30338,normal
30339,probe
30340,normal
30341,dos
30342,r2l
30343,normal
30344,dos
30345,dos
30346,probe
30347,dos
30348,normal
30349,probe
30350,normal
30351,normal
30352,normal
30353,normal
30354,dos
30355,normal
30356,normal
30357,dos
30358,dos
30359,probe
30360,probe
30361,dos
30362,dos
30363,probe
30364,dos
30365,dos
30366,dos
30367,dos
30368,dos
30369,normal
30370,normal
30371,normal
30372,dos
30373,normal
30374,normal
30375,probe
30376,normal
30377,dos
30378,normal
30379,dos
30380,dos
30381,probe
30382,probe
30383,probe
30384,normal
30385,normal
30386,dos
30387,dos
30388,normal
30389,probe
30390,normal
30391,normal
30392,normal
30393,normal
30394,dos
30395,normal
30396,normal
30397,normal
30398,dos
30399,dos
30400,normal
30401,normal
30402,normal
30403,r2l
30404,normal
30405,normal
30406,dos
30407,probe
30408,dos
30409,normal
30410,dos
30411,dos
30412,normal
30413,dos
30414,probe
30415,dos
30416,normal
30417,probe
30418,probe
30419,normal
30420,normal
30421,probe
30422,normal
30423,normal
30424,normal
30425,r2l
30426,dos
30427,normal
30428,dos
30429,normal
30430,normal
30431,dos
30432,normal
30433,dos
30434,dos
30435,normal
30436,dos
30437,dos
30438,normal
30439,dos
30440,dos
30441,normal
30442,dos
30443,probe
30444,dos
30445,normal
30446,normal
30447,normal
30448,dos
30449,dos
30450,normal
30451,normal
30452,dos
30453,normal
30454,dos
30455,normal
30456,dos
30457,probe
30458,dos
30459,dos
30460,normal
30461,probe
30462,normal
30463,normal
30464,normal
30465,normal
30466,normal
30467,normal
30468,normal
30469,dos
30470,normal
30471,normal
30472,dos
30473,dos
30474,dos
30475,dos
30476,normal
30477,normal
30478,dos
30479,dos
30480,normal
30481,r2l
30482,normal
30483,dos
30484,normal
30485,dos
30486,normal
30487,probe
30488,dos
30489,normal
30490,probe
30491,normal
30492,normal
30493,normal
30494,normal
30495,dos
30496,dos
30497,normal
30498,dos
30499,normal
30500,normal
30501,normal
30502,normal
30503,dos
30504,dos
30505,dos
30506,normal
30507,dos
30508,dos
30509,dos
30510,dos
30511,dos
30512,normal
30513,probe
30514,normal
30515,normal
30516,probe
30517,normal
30518,normal
30519,normal
30520,normal
30521,probe
30522,normal
30523,probe
30524,normal
30525,dos
30526,normal
30527,dos
30528,dos
30529,dos
30530,normal
30531,normal
30532,dos
30533,u2r
30534,dos
30535,normal
30536,normal
30537,normal
30538,dos
30539,normal
30540,normal
30541,normal
30542,dos
30543,normal
30544,normal
30545,normal
30546,dos
30547,dos
30548,normal
30549,normal
30550,dos
30551,dos
30552,normal
30553,normal
30554,normal
30555,normal
30556,normal
30557,probe
30558,normal
30559,dos
30560,dos
30561,probe
30562,normal
30563,probe
30564,dos
30565,normal
30566,dos
30567,normal
30568,dos
30569,dos
30570,dos
30571,normal
30572,normal
30573,normal
30574,dos
30575,dos
30576,normal
30577,normal
30578,normal
30579,normal
30580,normal
30581,normal
30582,probe
30583,probe
30584,dos
30585,dos
30586,probe
30587,dos
30588,normal
30589,normal
30590,normal
30591,dos
30592,dos
30593,dos
30594,normal
30595,normal
30596,normal
30597,dos
30598,dos
30599,normal
30600,dos
30601,normal
30602,dos
30603,probe
30604,dos
30605,dos
30606,dos
30607,normal
30608,dos
30609,dos
30610,dos
30611,normal
30612,dos
30613,normal
30614,dos
30615,dos
30616,normal
30617,probe
30618,probe
30619,probe
30620,dos
30621,normal
30622,normal
30623,normal
30624,normal
30625,probe
30626,dos
30627,probe
30628,normal
30629,normal
30630,normal
30631,normal
30632,normal
30633,normal
30634,normal
30635,normal
30636,normal
30637,normal
30638,dos
30639,normal
30640,normal
30641,normal
30642,normal
30643,normal
30644,normal
30645,dos
30646,normal
30647,dos
30648,normal
30649,normal
30650,normal
30651,dos
30652,normal
30653,dos
30654,normal
30655,dos
30656,dos
30657,normal
30658,dos
30659,normal
30660,dos
30661,normal
30662,normal
30663,normal
30664,normal
30665,dos
30666,dos
30667,probe
30668,dos
30669,normal
30670,normal
30671,probe
30672,dos
30673,normal
30674,dos
30675,normal
30676,dos
30677,normal
30678,dos
30679,normal
30680,normal
30681,normal
30682,normal
30683,normal
30684,normal
30685,normal
30686,normal
30687,dos
30688,dos
30689,normal
30690,normal
30691,dos
30692,normal
30693,dos
30694,normal
30695,normal
30696,dos
30697,normal
30698,dos
30699,normal
30700,probe
30701,dos
30702,dos
30703,normal
30704,normal
30705,normal
30706,normal
30707,normal
30708,probe
30709,dos
30710,dos
30711,normal
30712,r2l
30713,probe
30714,normal
30715,dos
30716,probe
30717,dos
30718,normal
30719,normal
30720,normal
30721,normal
30722,normal
30723,normal
30724,dos
30725,normal
30726,dos
30727,dos
30728,dos
30729,normal
30730,normal
30731,normal
30732,normal
30733,normal
30734,normal
30735,dos
30736,normal
30737,normal
30738,dos
30739,normal
30740,normal
30741,normal
30742,dos
30743,normal
30744,normal
30745,dos
30746,normal
30747,normal
30748,dos
30749,normal
30750,normal
30751,dos
30752,dos
30753,normal
30754,dos
30755,dos
30756,normal
30757,normal
30758,dos
30759,normal
30760,normal
30761,normal
30762,normal
30763,normal
30764,dos
30765,normal
30766,dos
30767,normal
30768,probe
30769,dos
30770,normal
30771,probe
30772,normal
30773,normal
30774,dos
30775,dos
30776,normal
30777,normal
30778,dos
30779,dos
30780,normal
30781,normal
30782,dos
30783,dos
30784,normal
30785,normal
30786,dos
30787,probe
30788,dos
30789,normal
30790,dos
30791,dos
30792,dos
30793,dos
30794,dos
30795,normal
30796,normal
30797,normal
30798,normal
30799,normal
30800,probe
30801,normal
30802,normal
30803,normal
30804,dos
30805,dos
30806,normal
30807,normal
30808,normal
30809,normal
30810,probe
30811,dos
30812,normal
30813,normal
30814,dos
30815,dos
30816,normal
30817,normal
30818,normal
30819,normal
30820,normal
30821,dos
30822,dos
30823,normal
30824,normal
30825,dos
30826,dos
30827,normal
30828,probe
30829,dos
30830,normal
30831,normal
30832,dos
30833,normal
30834,dos
30835,normal
30836,dos
30837,probe
30838,normal
30839,dos
30840,normal
30841,dos
30842,dos
30843,probe
30844,dos
30845,normal
30846,normal
30847,dos
30848,dos
30849,dos
30850,normal
30851,probe
30852,normal
30853,probe
30854,r2l
30855,normal
30856,normal
30857,normal
30858,dos
30859,normal
30860,dos
30861,probe
30862,probe
30863,normal
30864,dos
30865,normal
30866,dos
30867,dos
30868,dos
30869,normal
30870,dos
30871,normal
30872,normal
30873,normal
30874,dos
30875,dos
30876,normal
30877,normal
30878,normal
30879,probe
30880,normal
30881,normal
30882,normal
30883,normal
30884,dos
30885,dos
30886,dos
30887,normal
30888,normal
30889,normal
30890,dos
30891,normal
30892,dos
30893,normal
30894,normal
30895,dos
30896,dos
30897,dos
30898,dos
30899,dos
30900,normal
30901,normal
30902,dos
30903,normal
30904,normal
30905,normal
30906,normal
30907,normal
30908,normal
30909,normal
30910,dos
30911,normal
30912,dos
30913,normal
30914,probe
30915,normal
30916,dos
30917,dos
30918,normal
30919,dos
30920,normal
30921,normal
30922,normal
30923,normal
30924,normal
30925,dos
30926,dos
30927,dos
30928,normal
30929,dos
30930,dos
30931,dos
30932,dos
30933,normal
30934,normal
30935,normal
30936,probe
30937,dos
30938,dos
30939,normal
30940,normal
30941,dos
30942,dos
30943,dos
30944,dos
30945,normal
30946,probe
30947,normal
30948,normal
30949,dos
30950,probe
30951,dos
30952,normal
30953,dos
30954,normal
30955,dos
30956,probe
30957,normal
30958,dos
30959,dos
30960,normal
30961,normal
30962,dos
30963,normal
30964,normal
30965,normal
30966,probe
30967,dos
30968,normal
30969,normal
30970,dos
30971,dos
30972,normal
30973,normal
30974,probe
30975,dos
30976,dos
30977,probe
30978,normal
30979,normal
30980,dos
30981,normal
30982,dos
30983,normal
30984,normal
30985,normal
30986,dos
30987,dos
30988,normal
30989,probe
30990,dos
30991,dos
30992,dos
30993,dos
30994,dos
30995,normal
30996,dos
30997,dos
30998,normal
30999,normal
31000,dos
31001,probe
31002,normal
31003,dos
31004,normal
31005,dos
31006,normal
31007,normal
31008,normal
31009,normal
31010,dos
31011,normal
31012,dos
31013,dos
31014,dos
31015,dos
31016,dos
31017,dos
31018,normal
31019,normal
31020,normal
31021,normal
31022,dos
31023,dos
31024,dos
31025,dos
31026,normal
31027,normal
31028,dos
31029,dos
31030,probe
31031,probe
31032,normal
31033,dos
31034,normal
31035,normal
31036,dos
31037,normal
31038,normal
31039,dos
31040,dos
31041,dos
31042,normal
31043,probe
31044,probe
31045,normal
31046,r2l
31047,dos
31048,dos
31049,dos
31050,probe
31051,dos
31052,normal
31053,normal
31054,normal
31055,dos
31056,dos
31057,dos
31058,dos
31059,normal
31060,dos
31061,probe
31062,normal
31063,normal
31064,normal
31065,normal
31066,normal
31067,normal
31068,dos
31069,probe
31070,dos
31071,dos
31072,dos
31073,dos
31074,dos
31075,dos
31076,dos
31077,normal
31078,normal
31079,normal
31080,dos
31081,normal
31082,normal
31083,normal
31084,dos
31085,normal
31086,normal
31087,normal
31088,normal
31089,probe
31090,normal
31091,probe
31092,normal
31093,dos
31094,normal
31095,dos
31096,dos
31097,dos
31098,normal
31099,normal
31100,normal
31101,normal
31102,dos
31103,normal
31104,normal
31105,normal
31106,probe
31107,dos
31108,probe
31109,normal
31110,dos
31111,normal
31112,normal
31113,normal
31114,probe
31115,normal
31116,normal
31117,dos
31118,dos
31119,normal
31120,normal
31121,normal
31122,dos
31123,normal
31124,dos
31125,normal
31126,normal
31127,dos
31128,normal
31129,dos
31130,r2l
31131,normal
31132,normal
31133,normal
31134,normal
31135,normal
31136,normal
31137,normal
31138,normal
31139,dos
31140,dos
31141,normal
31142,dos
31143,normal
31144,normal
31145,normal
31146,normal
31147,normal
31148,dos
31149,normal
31150,dos
31151,normal
31152,normal
31153,normal
31154,dos
31155,normal
31156,normal
31157,normal
31158,normal
31159,dos
31160,dos
31161,probe
31162,normal
31163,normal
31164,normal
31165,dos
31166,normal
31167,dos
31168,dos
31169,normal
31170,normal
31171,probe
31172,dos
31173,dos
31174,dos
31175,dos
31176,probe
31177,normal
31178,probe
31179,normal
31180,normal
31181,dos
31182,dos
31183,dos
31184,dos
31185,dos
31186,dos
31187,normal
31188,dos
31189,normal
31190,normal
31191,dos
31192,dos
31193,dos
31194,probe
31195,dos
31196,normal
31197,dos
31198,dos
31199,normal
31200,dos
31201,dos
31202,dos
31203,dos
31204,dos
31205,dos
31206,normal
31207,normal
31208,normal
31209,normal
31210,dos
31211,normal
31212,normal
31213,dos
31214,normal
31215,dos
31216,normal
31217,normal
31218,dos
31219,probe
31220,dos
31221,normal
31222,dos
31223,normal
31224,normal
31225,normal
31226,dos
31227,dos
31228,dos
31229,normal
31230,probe
31231,dos
31232,normal
31233,normal
31234,normal
31235,normal
31236,dos
31237,normal
31238,dos
31239,dos
31240,probe
31241,normal
31242,normal
31243,dos
31244,probe
31245,normal
31246,dos
31247,normal
31248,dos
31249,dos
31250,normal
31251,dos
31252,normal
31253,normal
31254,normal
31255,dos
31256,dos
31257,normal
31258,normal
31259,dos
31260,normal
31261,dos
31262,normal
31263,normal
31264,normal
31265,probe
31266,normal
31267,normal
31268,normal
31269,probe
31270,probe
31271,dos
31272,dos
31273,normal
31274,probe
31275,normal
31276,dos
31277,normal
31278,dos
31279,normal
31280,normal
31281,dos
31282,normal
31283,normal
31284,dos
31285,dos
31286,dos
31287,dos
31288,normal
31289,probe
31290,normal
31291,normal
31292,dos
31293,normal
31294,normal
31295,normal
31296,dos
31297,normal
31298,normal
31299,normal
31300,probe
31301,dos
31302,dos
31303,normal
31304,normal
31305,normal
31306,dos
31307,normal
31308,probe
31309,dos
31310,dos
31311,normal
31312,probe
31313,probe
31314,dos
31315,dos
31316,normal
31317,dos
31318,dos
31319,normal
31320,normal
31321,probe
31322,probe
31323,normal
31324,normal
31325,dos
31326,dos
31327,normal
31328,normal
31329,probe
31330,dos
31331,normal
31332,normal
31333,normal
31334,normal
31335,normal
31336,normal
31337,dos
31338,dos
31339,normal
31340,normal
31341,normal
31342,normal
31343,normal
31344,normal
31345,dos
31346,dos
31347,normal
31348,normal
31349,probe
31350,normal
31351,normal
31352,probe
31353,dos
31354,dos
31355,dos
31356,normal
31357,dos
31358,normal
31359,normal
31360,normal
31361,dos
31362,normal
31363,probe
31364,dos
31365,dos
31366,dos
31367,dos
31368,normal
31369,dos
31370,normal
31371,dos
31372,dos
31373,dos
31374,probe
31375,normal
31376,normal
31377,dos
31378,dos
31379,normal
31380,dos
31381,dos
31382,normal
31383,normal
31384,normal
31385,dos
31386,normal
31387,dos
31388,normal
31389,dos
31390,normal
31391,normal
31392,probe
31393,dos
31394,normal
31395,normal
31396,normal
31397,dos
31398,probe
31399,dos
31400,dos
31401,normal
31402,normal
31403,normal
31404,normal
31405,normal
31406,normal
31407,dos
31408,normal
31409,normal
31410,dos
31411,normal
31412,dos
31413,dos
31414,normal
31415,normal
31416,dos
31417,normal
31418,probe
31419,dos
31420,normal
31421,normal
31422,normal
31423,dos
31424,normal
31425,normal
31426,normal
31427,dos
31428,normal
31429,normal
31430,dos
31431,probe
31432,dos
31433,normal
31434,dos
31435,probe
31436,dos
31437,normal
31438,normal
31439,normal
31440,normal
31441,dos
31442,dos
31443,normal
31444,dos
31445,dos
31446,normal
31447,dos
31448,normal
31449,normal
31450,normal
31451,normal
31452,normal
31453,dos
31454,normal
31455,normal
31456,dos
31457,normal
31458,probe
31459,normal
31460,normal
31461,dos
31462,normal
31463,normal
31464,probe
31465,probe
31466,probe
31467,normal
31468,normal
31469,normal
31470,probe
31471,probe
31472,dos
31473,normal
31474,normal
31475,dos
31476,dos
31477,dos
31478,probe
31479,dos
31480,dos
31481,dos
31482,normal
31483,dos
31484,normal
31485,dos
31486,probe
31487,normal
31488,dos
31489,normal
31490,dos
31491,normal
31492,probe
31493,normal
31494,normal
31495,normal
31496,normal
31497,normal
31498,dos
31499,dos
31500,dos
31501,dos
31502,normal
31503,dos
31504,r2l
31505,normal
31506,probe
31507,dos
31508,dos
31509,normal
31510,normal
31511,dos
31512,normal
31513,normal
31514,dos
31515,dos
31516,normal
31517,normal
31518,probe
31519,dos
31520,dos
31521,normal
31522,dos
31523,normal
31524,dos
31525,dos
31526,dos
31527,normal
31528,normal
31529,dos
31530,normal
31531,normal
31532,normal
31533,dos
31534,normal
31535,normal
31536,normal
31537,dos
31538,normal
31539,normal
31540,dos
31541,normal
31542,dos
31543,normal
31544,dos
31545,normal
31546,normal
31547,normal
31548,normal
31549,probe
31550,normal
31551,normal
31552,dos
31553,normal
31554,dos
31555,dos
31556,normal
31557,probe
31558,normal
31559,dos
31560,normal
31561,dos
31562,normal
31563,normal
31564,dos
31565,normal
31566,normal
31567,dos
31568,normal
31569,normal
31570,probe
31571,dos
31572,normal
31573,normal
31574,dos
31575,normal
31576,normal
31577,normal
31578,dos
31579,normal
31580,normal
31581,dos
31582,normal
31583,normal
31584,normal
31585,normal
31586,probe
31587,normal
31588,dos
31589,normal
31590,normal
31591,normal
31592,normal
31593,normal
31594,normal
31595,normal
31596,dos
31597,normal
31598,dos
31599,normal
31600,normal
31601,normal
31602,normal
31603,dos
31604,normal
31605,normal
31606,normal
31607,dos
31608,probe
31609,normal
31610,normal
31611,dos
31612,normal
31613,normal
31614,probe
31615,normal
31616,dos
31617,normal
31618,dos
31619,normal
31620,dos
31621,normal
31622,dos
31623,probe
31624,dos
31625,probe
31626,normal
31627,dos
31628,normal
31629,normal
31630,dos
31631,dos
31632,normal
31633,dos
31634,dos
31635,r2l
31636,probe
31637,normal
31638,dos
31639,dos
31640,normal
31641,dos
31642,normal
31643,dos
31644,dos
31645,dos
31646,dos
31647,r2l
31648,dos
31649,probe
31650,normal
31651,normal
31652,normal
31653,normal
31654,probe
31655,dos
31656,normal
31657,normal
31658,normal
31659,normal
31660,probe
31661,normal
31662,normal
31663,dos
31664,dos
31665,normal
31666,dos
31667,normal
31668,dos
31669,dos
31670,normal
31671,dos
31672,dos
31673,normal
31674,dos
31675,dos
31676,normal
31677,normal
31678,dos
31679,dos
31680,normal
31681,normal
31682,normal
31683,normal
31684,normal
31685,dos
31686,dos
31687,normal
31688,dos
31689,dos
31690,normal
31691,normal
31692,normal
31693,normal
31694,dos
31695,probe
31696,dos
31697,normal
31698,normal
31699,probe
31700,probe
31701,probe
31702,normal
31703,normal
31704,normal
31705,normal
31706,normal
31707,dos
31708,normal
31709,normal
31710,normal
31711,r2l
31712,normal
31713,dos
31714,normal
31715,normal
31716,normal
31717,dos
31718,normal
31719,dos
31720,normal
31721,normal
31722,dos
31723,normal
31724,normal
31725,normal
31726,normal
31727,normal
31728,normal
31729,normal
31730,dos
31731,probe
31732,normal
31733,probe
31734,normal
31735,normal
31736,dos
31737,normal
31738,normal
31739,normal
31740,dos
31741,normal
31742,normal
31743,dos
31744,dos
31745,normal
31746,normal
31747,normal
31748,dos
31749,normal
31750,normal
31751,probe
31752,normal
31753,dos
31754,normal
31755,probe
31756,normal
31757,normal
31758,probe
31759,dos
31760,normal
31761,dos
31762,r2l
31763,normal
31764,normal
31765,dos
31766,dos
31767,normal
31768,dos
31769,dos
31770,normal
31771,normal
31772,normal
31773,dos
31774,normal
31775,normal
31776,normal
31777,dos
31778,probe
31779,normal
31780,dos
31781,dos
31782,normal
31783,probe
31784,normal
31785,normal
31786,normal
31787,dos
31788,probe
31789,dos
31790,normal
31791,normal
31792,probe
31793,probe
31794,normal
31795,normal
31796,normal
31797,dos
31798,normal
31799,dos
31800,probe
31801,dos
31802,dos
31803,normal
31804,dos
31805,normal
31806,normal
31807,normal
31808,normal
31809,normal
31810,probe
31811,probe
31812,dos
31813,normal
31814,normal
31815,dos
31816,normal
31817,dos
31818,normal
31819,probe
31820,normal
31821,dos
31822,normal
31823,normal
31824,normal
31825,dos
31826,dos
31827,dos
31828,normal
31829,normal
31830,dos
31831,dos
31832,normal
31833,dos
31834,normal
31835,normal
31836,normal
31837,normal
31838,dos
31839,dos
31840,normal
31841,normal
31842,normal
31843,dos
31844,normal
31845,dos
31846,dos
31847,normal
31848,normal
31849,normal
31850,r2l
31851,dos
31852,dos
31853,dos
31854,dos
31855,normal
31856,dos
31857,dos
31858,dos
31859,dos
31860,normal
31861,dos
31862,dos
31863,normal
31864,probe
31865,normal
31866,dos
31867,normal
31868,probe
31869,normal
31870,dos
31871,dos
31872,dos
31873,dos
31874,normal
31875,normal
31876,normal
31877,normal
31878,normal
31879,normal
31880,probe
31881,normal
31882,dos
31883,dos
31884,dos
31885,dos
31886,normal
31887,dos
31888,dos
31889,normal
31890,normal
31891,normal
31892,normal
31893,normal
31894,probe
31895,normal
31896,probe
31897,dos
31898,normal
